year,county,num_firms,num_establishments,num_employees,establishments_born,establishments_exited,jobs_created,jobs_destroyed,net_jobs_created,net_job_creation_rate,employees_per_firm,net_establishment_change,job_churn
2008,"Lonoke County, Arkansas",858.0,935.0,,99.0,109.0,,,100.0,0.994,,-10.0,
2008,"Lonoke County, Arkansas",268.0,281.0,,,65.0,316.0,393.0,,−3.415,,,709.0
2008,"Lonoke County, Arkansas",858.0,935.0,,99.0,109.0,,,100.0,0.994,,-10.0,
2008,"Lonoke County, Arkansas",161.0,169.0,,4.0,15.0,159.0,268.0,,−6.030,,-11.0,427.0
2008,"Lonoke County, Arkansas",88.0,88.0,457.0,88.0,,457.0,,457.0,200.000,5.19,,
2009,"Lonoke County, Arkansas",74.0,75.0,323.0,75.0,,323.0,,323.0,200.000,4.36,,
2009,"Lonoke County, Arkansas",59.0,59.0,,0.0,3.0,67.0,265.0,,−8.347,,-3.0,332.0
2009,"Lonoke County, Arkansas",827.0,905.0,,97.0,130.0,,,,−3.208,,-33.0,
2009,"Lonoke County, Arkansas",320.0,332.0,,5.0,36.0,342.0,438.0,,−2.493,,-31.0,780.0
2009,"Lonoke County, Arkansas",154.0,164.0,,5.0,28.0,131.0,256.0,,−9.208,,-23.0,387.0
2009,"Lonoke County, Arkansas",262.0,275.0,,12.0,63.0,227.0,436.0,,−9.360,,-51.0,663.0
2009,"Lonoke County, Arkansas",827.0,905.0,,97.0,130.0,,,,−3.208,,-33.0,
2010,"Lonoke County, Arkansas",321.0,334.0,,11.0,30.0,404.0,519.0,,−2.925,,-19.0,923.0
2010,"Lonoke County, Arkansas",151.0,160.0,,4.0,21.0,143.0,173.0,,−2.022,,-17.0,316.0
2010,"Lonoke County, Arkansas",80.0,83.0,405.0,83.0,,405.0,,405.0,200.000,5.06,,
2010,"Lonoke County, Arkansas",267.0,277.0,,8.0,47.0,305.0,376.0,,−3.498,,-39.0,681.0
2010,"Lonoke County, Arkansas",54.0,54.0,,0.0,5.0,338.0,54.0,284.0,11.777,,-5.0,392.0
2010,"Lonoke County, Arkansas",826.0,908.0,,106.0,103.0,,,487.0,4.842,,3.0,
2010,"Lonoke County, Arkansas",826.0,908.0,,106.0,103.0,,,487.0,4.842,,3.0,
2011,"Lonoke County, Arkansas",326.0,344.0,,5.0,19.0,278.0,355.0,,−1.908,,-14.0,633.0
2011,"Lonoke County, Arkansas",152.0,161.0,,4.0,21.0,140.0,280.0,,−9.059,,-17.0,420.0
2011,"Lonoke County, Arkansas",817.0,893.0,,78.0,92.0,,,183.0,1.762,,-14.0,
2011,"Lonoke County, Arkansas",268.0,279.0,,12.0,50.0,357.0,416.0,,−2.911,,-38.0,773.0
2011,"Lonoke County, Arkansas",52.0,52.0,,0.0,,89.0,90.0,,−0.039,,,179.0
2011,"Lonoke County, Arkansas",817.0,893.0,,78.0,92.0,,,183.0,1.762,,-14.0,
2011,"Lonoke County, Arkansas",57.0,57.0,473.0,57.0,,473.0,,473.0,200.000,8.3,,
2012,"Lonoke County, Arkansas",835.0,908.0,,95.0,80.0,,,,−5.112,,15.0,
2012,"Lonoke County, Arkansas",835.0,908.0,,95.0,80.0,,,,−5.112,,15.0,
2012,"Lonoke County, Arkansas",49.0,49.0,,0.0,3.0,77.0,735.0,,−29.382,,-3.0,812.0
2012,"Lonoke County, Arkansas",76.0,77.0,396.0,77.0,,396.0,,396.0,200.000,5.21,,
2012,"Lonoke County, Arkansas",243.0,246.0,,4.0,36.0,198.0,478.0,,−14.902,,-32.0,676.0
2012,"Lonoke County, Arkansas",175.0,188.0,,9.0,9.0,177.0,157.0,20.0,1.154,,0.0,334.0
2012,"Lonoke County, Arkansas",326.0,348.0,,5.0,32.0,390.0,413.0,,−0.548,,-27.0,803.0
2013,"Lonoke County, Arkansas",175.0,184.0,,4.0,23.0,144.0,295.0,,−9.042,,-19.0,439.0
2013,"Lonoke County, Arkansas",843.0,915.0,,101.0,98.0,,,138.0,1.352,,3.0,
2013,"Lonoke County, Arkansas",228.0,231.0,,3.0,52.0,236.0,451.0,,−12.396,,-49.0,687.0
2013,"Lonoke County, Arkansas",47.0,47.0,,0.0,,228.0,117.0,111.0,5.572,,,345.0
2013,"Lonoke County, Arkansas",338.0,365.0,,6.0,21.0,385.0,447.0,,−1.355,,-15.0,832.0
2013,"Lonoke County, Arkansas",843.0,915.0,,101.0,98.0,,,138.0,1.352,,3.0,
2013,"Lonoke County, Arkansas",86.0,88.0,467.0,88.0,,467.0,,467.0,200.000,5.43,,
